id,餐廳名稱,餐廳評價,餐廳地址,餐廳連結
93,Simple Kaffa 興波咖啡旗艦店,4.2,臺北市中正區忠孝東路二段27號,https://ifoodie.tw/restaurant/5ca3145223679c626fa63ead-Simple-Kaffa-%E8%88%88%E6%B3%A2%E5%92%96%E5%95%A1%E6%97%97%E8%89%A6%E5%BA%97
94,一派胡塩 酵素臭豆腐 萬大店,4.4,臺北市中正區萬大路86號,https://ifoodie.tw/restaurant/61a34962cd99576a02f1a468-%E4%B8%80%E6%B4%BE%E8%83%A1%E5%A1%A9-%E9%85%B5%E7%B4%A0%E8%87%AD%E8%B1%86%E8%85%90-%E8%90%AC%E5%A4%A7%E5%BA%97
95,Kakigori Toshihiko,4.5,台北市中正區金門街2-2號,https://ifoodie.tw/restaurant/5b70f36322613929e502b71c-Kakigori-Toshihiko
96,雙月食品社 青島店,4.6,臺北市中正區青島東路6之2號,https://ifoodie.tw/restaurant/55de00d72756dd6eac5c52d3-%E9%9B%99%E6%9C%88%E9%A3%9F%E5%93%81%E7%A4%BE-%E9%9D%92%E5%B3%B6%E5%BA%97
97,原來上海,4.2,臺北市中正區仁愛路一段17號,https://ifoodie.tw/restaurant/61eab4b27cc7fc51e4a5fe8c-%E5%8E%9F%E4%BE%86%E4%B8%8A%E6%B5%B7
98,Vice Versa Wineshop & Kitchen,4.2,臺北市中正區廈門街94號,https://ifoodie.tw/restaurant/6080e21c781cc00c2d10b7de-Vice-Versa-Wineshop-
99,93番茄牛肉麵,4.3,臺北市中正區青島東路3之2號,https://ifoodie.tw/restaurant/59ff52d22756dd6f04e9d377-93%E7%95%AA%E8%8C%84%E7%89%9B%E8%82%89%E9%BA%B5
100,東東好生活,4.9,臺北市中正區齊東街76號,https://ifoodie.tw/restaurant/631020bacd995739244633dd-%E6%9D%B1%E6%9D%B1%E5%A5%BD%E7%94%9F%E6%B4%BB
101,墨洋拉麵,4.2,臺北市中正區羅斯福路四段136巷10號,https://ifoodie.tw/restaurant/5f1eddfed6895d462756373b-%E5%A2%A8%E6%B4%8B%E6%8B%89%E9%BA%B5
102,雞肉本家,3.6,臺北市中正區八德路一段82巷9弄22號,https://ifoodie.tw/restaurant/624065bc7cc7fc16d14f0ae1-%E9%9B%9E%E8%82%89%E6%9C%AC%E5%AE%B6
