store_name,address,Latitude,Longitude
overthink 餐飲小吃部,臺北市中正區廈門街34巷2號,25.0257848,121.5173133
黑毛屋 微風台北車站店,臺北市中正區北平西路3號2樓,25.0477467,121.5169983
夫妻飯莊 南機場夜市,臺北市中正區中華路二段313巷19號,25.0285186,121.5063471
金湘台灣小吃,臺北市中正區新生南路一段14號,25.0434057,121.532549
頂香蚵仔麵線 .南部肉粽店,臺北市中正區汀州路一段111號一樓,25.028453,121.50913
日本橋浜町酒食处 微風北車店,臺北市中正區北平西路3號2樓,25.0477467,121.5169983
聚北海道鍋物 台北衡陽店,臺北市中正區衡陽路3號2樓,25.0424957,121.5138702
尖蚪,臺北市中正區汀州路三段230巷57號,25.0104627,121.5318882
飯糰霸,臺北市中正區許昌街2號,25.0454314,121.517089
慶三號烤肉倉庫早午餐,臺北市中正區延平南路19號,25.045783,121.51078
宜賓燃麵,臺北市萬華區西藏路18號,25.0307206,121.5074967
米澤製麵 台北公館店,臺北市中正區羅斯福路四段132號一樓,25.0129836,121.5357926
鬧咖啡 NOW coffee,臺北市中正區延平南路58號,25.0455055,121.5104056
添財日本料理 開封店,臺北市中正區開封街一段38號,25.045895,121.512331
魚刺人雞蛋糕 台北師大店,臺北市中正區羅斯福路二段30巷13號,25.0279662,121.5209975
來碗Laksa,臺北市中正區濟南路二段60之5號,25.0401405,121.5321189
艸藴,臺北市中正區和平西路一段81號,25.0268485,121.5182848
墾丁蛋蛋ㄉㄨㄞ奶,臺北市中正區汀州路三段165號,25.0152949,121.532295
鱷吐司 A Toast,台北市中正區羅斯福路三段316巷8弄7號,25.0153909,121.5326765
黑白切,台北市中正區中華路二段311巷22-3號,25.0287567,121.5065007
布夫 歐式私房菜 La Bonne Bouffe,臺北市中正區忠孝東路二段37號2樓,25.043854,121.528033
富久湯圓大王,臺北市中正區臨沂街84巷7號,25.034504,121.527571
南機場芋頭大王,臺北市中正區中華路二段313巷5號,25.0282771,121.5061166
來來水餃店,臺北市中正區中華路二段309巷9號,25.0287774,121.505733
一番地壽喜燒 古亭,臺北市中正區和平西路一段80號,25.0263293,121.5187718
卡洛貍健康餐盒 北車店,臺北市中正區公園路30巷4號,25.0439666,121.5166206
晴天廚房,臺北市中正區寧波東街11之2號,25.0329709,121.5201967
喬喜蛋炒飯專賣店,臺北市中正區臨沂街3巷7號,25.0433606,121.5312936
秋紅肚房,臺北市中正區汀州路三段230巷43號,25.0106803,121.5322649
張吳記麵餅舖,臺北市中正區杭州南路二段44之1號,25.0308408,121.5220919
Mr.wiiwii威威醬自家製千層店KAKAKA,台北市中正區北平西路3號,25.0473199,121.5160463
玉米家,中正區中華路二段315巷5弄9號攤位,25.0290144,121.5060863
茂生百味,臺北市中正區和平西路一段30號2樓,25.026574,121.5205593
Musa咖哩餅,臺北市中正區中華路二段307巷70號攤位,25.0294764,121.5065091
劉山東牛肉麵,臺北市中正區開封街一段14巷2號,25.0457149,121.5137602
咖啡休日 Day off.,臺北市中正區羅斯福路四段136巷6弄23號1樓,25.0122635,121.5358449
草頭西餐酒館,臺北市中正區金門街25之2號,25.0211304,121.5228437
Heritage Bakery & Cafe,臺北市中正區漢口街一段73號之2,25.0452987,121.5118418
Engolili 英格莉莉 微風北車店,台北市中正區北平西路3號西三門2樓,25.0477467,121.5169983
阿仁福州包,臺北市中正區南陽街5號,25.0453242,121.516177
